source_id,authority_tier,source_type,scope,url,verified_on,notes
official_wiki_conveyor_belts,A,official_wiki,"belt capacities, unlocks",https://satisfactory.wiki.gg/wiki/Conveyor_Belts,2026-09-09,Current official wiki page.
official_wiki_conveyor_lifts,A,official_wiki,"lift capacities, unlocks, dimensions, 48 m construction limit",https://satisfactory.wiki.gg/wiki/Conveyor_Lifts,2026-09-09,Current official wiki page.
official_wiki_miner,A,official_wiki,"miner extraction rates, unlocks, dimensions, power, world node counts",https://satisfactory.wiki.gg/wiki/Miner_Mk.3,2026-09-09,Current official wiki Miner page.
official_wiki_resource_node,A,official_wiki,purity multipliers and world resource-node totals,https://satisfactory.wiki.gg/wiki/Resource_node,2026-09-09,Current official wiki resource-node page.
official_wiki_pipelines,A,official_wiki,"pipeline capacities, unlocks, segment dimensions",https://satisfactory.wiki.gg/wiki/Pipelines,2026-09-09,Current official wiki page.
official_wiki_railway,A,official_wiki,"rail segment length, radius and grade constraints",https://satisfactory.wiki.gg/wiki/Railway,2026-09-09,Current official wiki page.
official_wiki_build_gun,A,official_wiki,Zoop limit,https://satisfactory.wiki.gg/wiki/Build_Gun,2026-09-09,Current official wiki page.
official_wiki_hard_drive,A,official_wiki,"hard-drive totals, recipe eligibility, crash-site count",https://satisfactory.wiki.gg/wiki/Hard_Drive,2026-09-09,Current official wiki page; primary verification source for HD system.
official_wiki_space_elevator,A,official_wiki,project assembly phases and standard-cost requirements,https://satisfactory.wiki.gg/wiki/Space_Elevator,2026-09-09,Uses default 1x delivery multiplier.
official_wiki_production_buildings,A,official_wiki,production-building dimensions/power/ports,https://satisfactory.wiki.gg/wiki/Constructor,2026-09-09,Additional rows cite building-specific official wiki URLs.
github_satisfactory_logistics_docs,B,game_derived_github,"items, recipes, buildings, schematics generated from Docs/en-US.json",https://github.com/rockfactory/satisfactory-logistics,2026-09-09,Repository documents game-data generation from the game's Docs JSON. Docs file itself contains no version field; provenance should include commit/hash before canonical ingest.
github_satisfactory_logistics_nodes,B,game_map_derived_github,world resource-node placements,https://github.com/rockfactory/satisfactory-logistics,2026-09-09,Repository states WorldResourceNodes.json is rebuilt from Persistent_Level after game updates. Not imported wholesale in this pass.
github_crash_site_tracker,C,wiki_derived_community_dataset,"crash-site coordinates, requirements, guards, scattered components",https://github.com/bingelp/satisfactory-crash-site-tracker,2026-09-09,"README says data is sourced from Satisfactory Wiki and describes ~110 sites; official wiki currently states 118, so completeness is not assumed."
local_game_docs_en_us,A+,installed_game_data,"items/resources, production recipes, schematics/unlocks",,2026-09-09,User-installed CommunityResources/Docs/en-US.json; UTF-16; SHA-256 a81d250e96aa13db3c0bf8c332c199ad930b2f15323e2c1a069afa4c07f971bb
