planning_recipe_name,planning_rank,match_count,installed_recipe_ids,installed_display_names,status,game_build_id
Cast Screws,S,1,Recipe_Alternate_Screw_C,Alternate: Cast Screws,matched,docs_a81d250e96aa
Iron Wire,A,1,Recipe_Alternate_Wire_1_C,Alternate: Iron Wire,matched,docs_a81d250e96aa
Stitched Iron Plate,S,1,Recipe_Alternate_ReinforcedIronPlate_2_C,Alternate: Stitched Iron Plate,matched,docs_a81d250e96aa
Bolted Iron Plate,A,1,Recipe_Alternate_ReinforcedIronPlate_1_C,Alternate: Bolted Iron Plate,matched,docs_a81d250e96aa
Bolted Frame,B,1,Recipe_Alternate_BoltedFrame_C,Alternate: Bolted Frame,matched,docs_a81d250e96aa
Copper Rotor,C,1,Recipe_Alternate_CopperRotor_C,Alternate: Copper Rotor,matched,docs_a81d250e96aa
Wet Concrete,A,1,Recipe_Alternate_WetConcrete_C,Alternate: Wet Concrete,matched,docs_a81d250e96aa
Steamed Copper Sheet,B,1,Recipe_Alternate_SteamedCopperSheet_C,Alternate: Steamed Copper Sheet,matched,docs_a81d250e96aa
Charcoal,D,1,Recipe_Alternate_Coal_1_C,Alternate: Charcoal,matched,docs_a81d250e96aa
Biocoal,D,1,Recipe_Alternate_Coal_2_C,Alternate: Biocoal,matched,docs_a81d250e96aa
Solid Steel Ingot,S,1,Recipe_Alternate_IngotSteel_1_C,Alternate: Solid Steel Ingot,matched,docs_a81d250e96aa
Molded Steel Pipe,S/A,1,Recipe_Alternate_SteelPipe_Molded_C,Alternate: Molded Steel Pipe,matched,docs_a81d250e96aa
Steel Rotor,A,1,Recipe_Alternate_Rotor_C,Alternate: Steel Rotor,matched,docs_a81d250e96aa
Steeled Frame,A,1,Recipe_Alternate_ModularFrame_C,Alternate: Steeled Frame,matched,docs_a81d250e96aa
Copper Alloy Ingot,A,1,Recipe_Alternate_CopperAlloyIngot_C,Alternate: Copper Alloy Ingot,matched,docs_a81d250e96aa
Steel Screws,A,1,Recipe_Alternate_Screw_2_C,Alternate: Steel Screws,matched,docs_a81d250e96aa
Molded Beam,A/B,1,Recipe_Alternate_SteelBeam_Molded_C,Alternate: Molded Beam,matched,docs_a81d250e96aa
Steel Rod,A/B,1,Recipe_Alternate_SteelRod_C,Alternate: Steel Rod,matched,docs_a81d250e96aa
Iron Pipe,B,1,Recipe_Alternate_SteelPipe_Iron_C,Alternate: Iron Pipe,matched,docs_a81d250e96aa
Basic Iron Ingot,B,1,Recipe_Alternate_IronIngot_Basic_C,Alternate: Basic Iron Ingot,matched,docs_a81d250e96aa
Iron Alloy Ingot,B,1,Recipe_Alternate_IngotIron_C,Alternate: Iron Alloy Ingot,matched,docs_a81d250e96aa
Steel Cast Plate,B,1,Recipe_Alternate_SteelCastedPlate_C,Alternate: Steel Cast Plate,matched,docs_a81d250e96aa
Automated Miner,C,1,Recipe_Alternate_AutomatedMiner_C,Alternate: Automated Miner,matched,docs_a81d250e96aa
Encased Industrial Pipe,S,1,Recipe_Alternate_EncasedIndustrialBeam_C,Alternate: Encased Industrial Pipe,matched,docs_a81d250e96aa
Heavy Oil Residue,S,1,Recipe_Alternate_HeavyOilResidue_C,Alternate: Heavy Oil Residue,matched,docs_a81d250e96aa
Recycled Plastic,S,1,Recipe_Alternate_Plastic_1_C,Alternate: Recycled Plastic,matched,docs_a81d250e96aa
Recycled Rubber,S,1,Recipe_Alternate_RecycledRubber_C,Alternate: Recycled Rubber,matched,docs_a81d250e96aa
Diluted Packaged Fuel,S/A,1,Recipe_Alternate_DilutedPackagedFuel_C,Alternate: Diluted Packaged Fuel,matched,docs_a81d250e96aa
Pure Copper Ingot,A,1,Recipe_Alternate_PureCopperIngot_C,Alternate: Pure Copper Ingot,matched,docs_a81d250e96aa
Pure Iron Ingot,A,1,Recipe_Alternate_PureIronIngot_C,Alternate: Pure Iron Ingot,matched,docs_a81d250e96aa
Electrode Circuit Board,A,1,Recipe_Alternate_ElectrodeCircuitBoard_C,Alternate: Electrode Circuit Board,matched,docs_a81d250e96aa
Coke Steel Ingot,A/B,1,Recipe_Alternate_CokeSteelIngot_C,Alternate: Coke Steel Ingot,matched,docs_a81d250e96aa
Coated Cable,A/B,1,Recipe_Alternate_CoatedCable_C,Alternate: Coated Cable,matched,docs_a81d250e96aa
Insulated Cable,A/B,1,Recipe_Alternate_Cable_1_C,Alternate: Insulated Cable,matched,docs_a81d250e96aa
Adhered Iron Plate,B,1,Recipe_Alternate_AdheredIronPlate_C,Alternate: Adhered Iron Plate,matched,docs_a81d250e96aa
Flexible Framework,B,1,Recipe_Alternate_FlexibleFramework_C,Alternate: Flexible Framework,matched,docs_a81d250e96aa
Coated Iron Plate,B,1,Recipe_Alternate_CoatedIronPlate_C,Alternate: Coated Iron Plate,matched,docs_a81d250e96aa
Rubber Concrete,B,1,Recipe_Alternate_RubberConcrete_C,Alternate: Rubber Concrete,matched,docs_a81d250e96aa
Tempered Caterium Ingot,B,1,Recipe_Alternate_CateriumIngot_Tempered_C,Alternate: Tempered Caterium Ingot,matched,docs_a81d250e96aa
Tempered Copper Ingot,B,1,Recipe_Alternate_CopperIngot_Tempered_C,Alternate: Tempered Copper Ingot,matched,docs_a81d250e96aa
Plastic Smart Plating,B/C,1,Recipe_Alternate_PlasticSmartPlating_C,Alternate: Plastic Smart Plating,matched,docs_a81d250e96aa
Polymer Resin,C,1,Recipe_Alternate_PolymerResin_C,Alternate: Polymer Resin,matched,docs_a81d250e96aa
Steel Canister,B,1,Recipe_Alternate_SteelCanister_C,Alternate: Steel Canister,matched,docs_a81d250e96aa
Coated Iron Canister,B/C,1,Recipe_Alternate_CoatedIronCanister_C,Alternate: Coated Iron Canister,matched,docs_a81d250e96aa
Heavy Encased Frame,S,1,Recipe_Alternate_ModularFrameHeavy_C,Alternate: Heavy Encased Frame,matched,docs_a81d250e96aa
Heavy Flexible Frame,B,1,Recipe_Alternate_HeavyFlexibleFrame_C,Alternate: Heavy Flexible Frame,matched,docs_a81d250e96aa
