storage_policy_id,module_id,item_name,storage_required,storage_role,placement_policy,consumer_priority,dimensional_depot,overflow_policy,buffer_behavior,distance_from_producer,confidence,notes
storage_a_plate,a_plate,Iron Plate,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_rod,a_rod,Iron Rod,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_screw,a_screw,Screws,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_rip,a_rip,Reinforced Iron Plate,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_rotor,a_rotor,Rotor,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_modframe,a_modframe,Modular Frame,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_smartplate,a_smartplate,Smart Plating,true,project_buffer,central_terminal,before_storage,false,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_wire,a_wire,Wire,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_cable,a_cable,Cable,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_coppersheet,a_coppersheet,Copper Sheet,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_a_concrete,a_concrete,Concrete,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_steel_ingot,c_steel_ingot,Steel Ingot,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_pipe,c_pipe,Steel Pipe,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_beam,c_beam,Steel Beam,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_eib,c_eib,Encased Industrial Beam,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_rotor,c_rotor,Rotor,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_stator,c_stator,Stator,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_motor,c_motor,Motor,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
