district_phase_id,district_id,phase_order,phase_code,name,confidence,phase_role,current_belt_capability,design_belt_capability,current_miner_capability,design_miner_capability,permanent_layout,expansion_intent,transition_trigger,strategy_profile_id
rocky_a0,rocky_desert_a,0,A0,Bootstrap,DEFINED,Temporary/basic starter production while unlocking stable logistics.,belt_mk1,belt_mk2,miner_mk1,miner_mk1,false,Reserve straight 120/min corridors; temporary machines may be replaced.,Reach Mk.2 belts / stable starter resource feed.,rocky_relaxed_districted_v1
rocky_a1,rocky_desert_a,1,A1,Starter Works Baseline,DEFINED,Permanent early construction-material and Project Assembly starter production.,belt_mk2,belt_mk2,miner_mk1,miner_mk2,true,Keep module edges open for reserve Iron activation and storage expansion.,Mk.2 miners and/or need for higher starter surplus.,rocky_relaxed_districted_v1
rocky_a2,rocky_desert_a,2,A2,Expanded Starter / Storage,PARAMETERIZED,"Increase starter surplus, activate reserves as needed, integrate dimensional storage/overflow.",belt_mk2,belt_mk3,miner_mk2,miner_mk2,true,Expand outward; avoid inserting new machines into core chains.,Construction demand or downstream consumption justifies reserve activation.,rocky_relaxed_districted_v1
rocky_a3,rocky_desert_a,3,A3,Home / Logistics Interchange,PARAMETERIZED,Transition from primary production center toward mall/storage/interchange.,belt_mk3,belt_mk3,miner_mk2,miner_mk2,true,Prioritize storage/logistics frontage over dense new local production.,Regional transport network becomes primary.,rocky_relaxed_districted_v1
rocky_b0,rocky_desert_b,0,B0,Coal Power Commission,DEFINED,First autonomous coal-power grid using local coal and water.,belt_mk2,belt_mk2,miner_mk1,miner_mk1,true,Reserve generator and water-extractor expansion line.,Power demand exceeds initial block.,rocky_relaxed_districted_v1
rocky_b1,rocky_desert_b,1,B1,Coal Power Expansion,PARAMETERIZED,Expand autonomous generation using additional local coal capacity.,belt_mk2,belt_mk3,miner_mk1,miner_mk2,true,Add generator blocks rather than rework existing manifold.,Mk.2 mining and/or sustained regional power demand.,rocky_relaxed_districted_v1
rocky_b2,rocky_desert_b,2,B2,Shared Coal Release,PLACEHOLDER,Potentially release conditional coal capacity after stronger power sources are established.,,,,,true,No default physical recommendation beyond preserving optional export access.,Power district no longer requires all reserved coal.,rocky_relaxed_districted_v1
rocky_c0,rocky_desert_c,0,C0,Steel Commissioning,DEFINED,Bring basic Steel Beam and Steel Pipe production online for progression and construction.,belt_mk2,belt_mk3,miner_mk1,miner_mk2,true,Build permanent manifolds with unused extension length reserved for later machines rather than duplicating lines.,Need Encased Industrial Beam production before Encased Industrial Pipe is available.,rocky_relaxed_districted_v1
rocky_c1,rocky_desert_c,1,C1,Initial Encased Beam Production,DEFINED,Produce Encased Industrial Beams with the default Steel Beam + Concrete recipe while continuing Steel Pipe production for construction and later use.,belt_mk2,belt_mk3,miner_mk1,miner_mk2,true,Extend the existing Beam and Pipe lines in place; reserve a Pipe-side EIB branch for the later recipe transition.,Encased Industrial Pipe alternate recipe acquired.,rocky_relaxed_districted_v1
rocky_c2,rocky_desert_c,2,C2,Encased Industrial Pipe Transition,DEFINED,Move Encased Industrial Beam production from Steel Beam + Concrete to Steel Pipe + Concrete; Pipe becomes the dominant shared steel intermediate.,belt_mk3,belt_mk3,miner_mk2,miner_mk2,true,Retain Beam production for construction/project demand while extending the Pipe manifold to EIB and other consumers.,Steel Rotor and broader motor-component production justified.,rocky_relaxed_districted_v1
