item_id,display_name,descriptor_native_class,category,form,stack_size_enum,cached_stack_size,sink_points,energy_value,radioactive_decay,can_be_discarded,is_alien_item,description,game_build_id,source_id
Desc_LiquidOil_C,Crude Oil,FGResourceDescriptor,resource,liquid,SS_FLUID,50000,30,0.320000,0.000000,True,False,"Refined into all kinds of Oil-based resources, like Fuel and Plastic.",docs_a81d250e96aa,local_game_docs_en_us
Desc_Water_C,Water,FGResourceDescriptor,resource,liquid,SS_FLUID,50000,5,0.000000,0.000000,True,False,It's water.,docs_a81d250e96aa,local_game_docs_en_us
Desc_NitrogenGas_C,Nitrogen Gas,FGResourceDescriptor,resource,gas,SS_FLUID,50000,10,0.000000,0.000000,True,False,"Has a variety of uses, including metallurgy, cooling, and Nitric Acid production. On MASSAGE-2 (AB)b, it can be extracted from underground gas wells.",docs_a81d250e96aa,local_game_docs_en_us
Desc_OreIron_C,Iron Ore,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,1,0.000000,0.000000,True,False,Used for crafting. The most essential basic resource.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Coal_C,Coal,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,3,300.000000,0.000000,True,False,"Mainly used as fuel for vehicles & Coal-Powered Generators, or in Steel production.",docs_a81d250e96aa,local_game_docs_en_us
Desc_OreCopper_C,Copper Ore,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,3,0.000000,0.000000,True,False,Used for crafting. A basic resource primarily used for electricity.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Stone_C,Limestone,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,2,0.000000,0.000000,True,False,Used for crafting. A basic resource primarily used for stable Foundations.,docs_a81d250e96aa,local_game_docs_en_us
Desc_RawQuartz_C,Raw Quartz,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,15,0.000000,0.000000,True,False,"Can be processed into Quartz Crystals and Silica, which both offer a variety of applications.",docs_a81d250e96aa,local_game_docs_en_us
Desc_SAM_C,SAM,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,20,0.000000,0.000000,True,True,"Strange Alien Matter, commonly referred to as SAM, doesn't seem to follow the known laws of physics. It whispers of new possibilities.",docs_a81d250e96aa,local_game_docs_en_us
Desc_OreBauxite_C,Bauxite,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,8,0.000000,0.000000,True,False,"Used to produce Alumina, which can be further refined into the Aluminum Scrap required to produce Aluminum Ingots.",docs_a81d250e96aa,local_game_docs_en_us
Desc_OreGold_C,Caterium Ore,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,7,0.000000,0.000000,True,False,"Smelted into Caterium Ingots, which are primarily used for advanced electronics.",docs_a81d250e96aa,local_game_docs_en_us
Desc_Sulfur_C,Sulfur,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,11,0.000000,0.000000,True,False,Primarily used to produce Black Powder.,docs_a81d250e96aa,local_game_docs_en_us
Desc_OreUranium_C,Uranium,FGResourceDescriptor,resource,solid,SS_MEDIUM,100,35,0.000000,15.000000,True,False,A radioactive element.  Used to produce Encased Uranium Cells for Uranium Fuel Rods.  Caution: Moderately Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Fuel_C,Packaged Fuel,FGItemDescriptor,item,solid,SS_MEDIUM,100,270,750.000000,0.000000,True,False,"Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_HeavyOilResidue_C,Heavy Oil Residue,FGItemDescriptor,item,liquid,SS_FLUID,50000,30,0.400000,0.000000,True,False,A by-product of Plastic and Rubber production. Can be further refined into Fuel and Petroleum Coke.,docs_a81d250e96aa,local_game_docs_en_us
Desc_DarkEnergy_C,Dark Matter Residue,FGItemDescriptor,item,gas,SS_FLUID,50000,130,0.000000,0.000000,True,False,"Produced as a by-product of Quantum Encoding processes and alternatively generated in the Converter.  Various fields of science are still debating the nature and properties of Dark Matter. Meanwhile, FICSIT has found several applications for it in space-time manipulation.",docs_a81d250e96aa,local_game_docs_en_us
Desc_QuantumEnergy_C,Excited Photonic Matter,FGItemDescriptor,item,gas,SS_FLUID,50000,100,0.000000,0.000000,True,False,Excited Photonic Matter is essential for all production processes in the Quantum Encoder.  Formed in the Converter by inducing intense photon interactions through exposure to SAM in a high-energy environment.,docs_a81d250e96aa,local_game_docs_en_us
Desc_IonizedFuel_C,Ionized Fuel,FGItemDescriptor,item,gas,SS_FLUID,50000,2398,5.000000,0.000000,True,False,"Fuel that has been ionized, allowing it to deliver incredible output. Can be used as-is to power Fuel-Powered Generators, or packaged to be used as fuel for vehicles or the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_RocketFuel_C,Rocket Fuel,FGItemDescriptor,item,gas,SS_FLUID,50000,289,3.600000,0.000000,True,False,"A high-impulse compressed gas fuel. Can be used as-is to power Fuel-Powered Generators, or packaged to be used as fuel for vehicles or the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_IronPlate_C,Iron Plate,FGItemDescriptor,item,solid,SS_BIG,200,6,0.000000,0.000000,True,False,Used for crafting. One of the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_IronRod_C,Iron Rod,FGItemDescriptor,item,solid,SS_BIG,200,4,0.000000,0.000000,True,False,Used for crafting. One of the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Cable_C,Cable,FGItemDescriptor,item,solid,SS_BIG,200,24,0.000000,0.000000,True,False,Used for crafting. Primarily used to build Power Lines.,docs_a81d250e96aa,local_game_docs_en_us
Desc_IronPlateReinforced_C,Reinforced Iron Plate,FGItemDescriptor,item,solid,SS_MEDIUM,100,120,0.000000,0.000000,True,False,Used for crafting. A sturdier and more durable Iron Plate.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Wire_C,Wire,FGItemDescriptor,item,solid,SS_HUGE,500,6,0.000000,0.000000,True,False,Used for crafting. One of the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_IronIngot_C,Iron Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,2,0.000000,0.000000,True,False,Used for crafting the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SteelIngot_C,Steel Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,8,0.000000,0.000000,True,False,Smelted from a combination of Iron Ore and Coal. Can be made into several parts used in building construction.,docs_a81d250e96aa,local_game_docs_en_us
Desc_HazmatFilter_C,Iodine-Infused Filter,FGItemDescriptor,item,solid,SS_SMALL,50,2274,0.000000,0.000000,True,False,Absorbs radioactive particles when used with the Hazmat Suit.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Filter_C,Gas Filter,FGItemDescriptor,item,solid,SS_SMALL,50,608,0.000000,0.000000,True,False,Filters out toxins and pollutants from the air when used with a Gas Mask.,docs_a81d250e96aa,local_game_docs_en_us
Desc_AluminumCasing_C,Aluminum Casing,FGItemDescriptor,item,solid,SS_BIG,200,393,0.000000,0.000000,True,False,A versatile container cast from Aluminum Ingots.,docs_a81d250e96aa,local_game_docs_en_us
Desc_AluminumIngot_C,Aluminum Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,131,0.000000,0.000000,True,False,"Smelted from Aluminum Scrap, which is refined from Alumina Solution. Used to produce specialized aluminum-based parts.",docs_a81d250e96aa,local_game_docs_en_us
Desc_AluminumPlate_C,Alclad Aluminum Sheet,FGItemDescriptor,item,solid,SS_BIG,200,266,0.000000,0.000000,True,False,"Used to make products that require high heat conduction or a high specific strength. Thin, lightweight, and highly durable.",docs_a81d250e96aa,local_game_docs_en_us
Desc_AluminumPlateReinforced_C,Heat Sink,FGItemDescriptor,item,solid,SS_MEDIUM,100,2804,0.000000,0.000000,True,False,Used to dissipate heat faster.,docs_a81d250e96aa,local_game_docs_en_us
Desc_AluminumScrap_C,Aluminum Scrap,FGItemDescriptor,item,solid,SS_HUGE,500,27,0.000000,0.000000,True,False,Refined from Alumina. Can be smelted into Aluminum Ingots for industrial usage.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Computer_C,Computer,FGItemDescriptor,item,solid,SS_SMALL,50,8352,0.000000,0.000000,True,False,A complex logic machine that is used to control advanced behavior in other machines.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CopperIngot_C,Copper Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,6,0.000000,0.000000,True,False,Used for crafting the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CopperSheet_C,Copper Sheet,FGItemDescriptor,item,solid,SS_BIG,200,24,0.000000,0.000000,True,False,Used for crafting. Primarily used for Pipelines due to its high corrosion resistance.,docs_a81d250e96aa,local_game_docs_en_us
Desc_ModularFrame_C,Modular Frame,FGItemDescriptor,item,solid,SS_SMALL,50,408,0.000000,0.000000,True,False,Used for crafting. A multipurpose building block.,docs_a81d250e96aa,local_game_docs_en_us
Desc_ModularFrameHeavy_C,Heavy Modular Frame,FGItemDescriptor,item,solid,SS_SMALL,50,10800,0.000000,0.000000,True,False,A more robust multipurpose frame.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Motor_C,Motor,FGItemDescriptor,item,solid,SS_SMALL,50,1520,0.000000,0.000000,True,False,Creates a mechanical force that is used to move things from machines to vehicles.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Rotor_C,Rotor,FGItemDescriptor,item,solid,SS_MEDIUM,100,140,0.000000,0.000000,True,False,Used for crafting. The moving parts of a motor.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SteelPipe_C,Steel Pipe,FGItemDescriptor,item,solid,SS_BIG,200,24,0.000000,0.000000,True,False,Primarily used when constructing slightly more advanced buildings.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SteelPlate_C,Steel Beam,FGItemDescriptor,item,solid,SS_BIG,200,64,0.000000,0.000000,True,False,Primarily used when constructing slightly more advanced buildings.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SteelPlateReinforced_C,Encased Industrial Beam,FGItemDescriptor,item,solid,SS_MEDIUM,100,528,0.000000,0.000000,True,False,Simultaneously utilizes the compressive strength of concrete and the tensile strength of steel. Mostly used as a stable base for constructing buildings.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PackagedIonizedFuel_C,Packaged Ionized Fuel,FGItemDescriptor,item,solid,SS_MEDIUM,100,5246,10000.000000,0.000000,True,False,"Ionized Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_PackagedRocketFuel_C,Packaged Rocket Fuel,FGItemDescriptor,item,solid,SS_MEDIUM,100,1028,7200.000000,0.000000,True,False,"Rocket Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_TurboFuel_C,Packaged Turbofuel,FGItemDescriptor,item,solid,SS_MEDIUM,100,570,2000.000000,0.000000,True,False,"Turbofuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_Cement_C,Concrete,FGItemDescriptor,item,solid,SS_HUGE,500,12,0.000000,0.000000,True,False,Used for building. Good for stable Foundations.,docs_a81d250e96aa,local_game_docs_en_us
Desc_IronScrew_C,Screws,FGItemDescriptor,item,solid,SS_HUGE,500,2,0.000000,0.000000,True,False,Used for crafting. One of the most basic parts.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_1_C,Smart Plating,FGItemDescriptor,item,solid,SS_SMALL,50,520,0.000000,0.000000,True,False,Project Part #1. Ship via the Space Elevator to complete phases of Project Assembly.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_2_C,Versatile Framework,FGItemDescriptor,item,solid,SS_SMALL,50,1176,0.000000,0.000000,True,False,Project Part #2. Ship via the Space Elevator to complete phases of Project Assembly.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_3_C,Automated Wiring,FGItemDescriptor,item,solid,SS_SMALL,50,1440,0.000000,0.000000,True,False,Project Part #3. Ship via the Space Elevator to complete phases of Project Assembly.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_4_C,Modular Engine,FGItemDescriptor,item,solid,SS_SMALL,50,9960,0.000000,0.000000,True,False,Project Part #4. Ship via the Space Elevator to complete phases of Project Assembly.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_5_C,Adaptive Control Unit,FGItemDescriptor,item,solid,SS_SMALL,50,76368,0.000000,0.000000,True,False,Project Part #5. Ship via the Space Elevator to complete phases of Project Assembly.,docs_a81d250e96aa,local_game_docs_en_us
