strategy_profile_id,recipe_id,recipe_name,progression_cluster_id,rank,rationale,parameterized,provenance
rocky_relaxed_districted_v1,cast_screws,Cast Screws,pre_tier_1_2,S,Excellent early simplification; removes the Rod-to-Screw step.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,iron_wire,Iron Wire,pre_tier_1_2,A,Uses abundant Iron for Wire and preserves Copper for Sheets/electronics.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,stitched_iron_plate,Stitched Iron Plate,tier_1_2,S,Removes Screws from Reinforced Iron Plates; especially strong with Iron Wire.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,bolted_iron_plate,Bolted Iron Plate,tier_1_2,A,"Very high RIP throughput, but consumes many Screws.",true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,bolted_frame,Bolted Frame,tier_1_2,B,Fast Modular Frames; substantial Screw demand.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,copper_rotor,Copper Rotor,tier_1_2,C,"Good output, but consumes Copper Sheets and many Screws.",true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,wet_concrete,Wet Concrete,tier_3_4,A,Excellent Concrete efficiency when Water is convenient.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steamed_copper_sheet,Steamed Copper Sheet,tier_3_4,B,Improves Copper Sheet yield but introduces Refinery/Water infrastructure.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,charcoal,Charcoal,tier_3_4,D,Converts finite Wood to Coal; niche/emergency use.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,biocoal,Biocoal,tier_3_4,D,Converts Biomass to Coal; niche/emergency use.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,solid_steel_ingot,Solid Steel Ingot,tier_3_4,S,Core permanent-steel recipe; +50% Steel output from equivalent Iron/Coal inputs.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,molded_steel_pipe,Molded Steel Pipe,tier_3_4,S/A,Strong fit for a pipe-heavy steel district; trades Limestone for steel efficiency.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steel_rotor,Steel Rotor,tier_3_4,A,Aligns Rotor and Stator inputs around Steel Pipe + Wire; simplifies Motors.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steeled_frame,Steeled Frame,tier_3_4,A,Excellent with Stitched Iron Plate and Steel Pipe production.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,copper_alloy_ingot,Copper Alloy Ingot,tier_3_4,A,Stretches Copper using abundant Iron.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steel_screws,Steel Screws,tier_3_4,A,Produces very large Screw throughput when a later recipe still needs Screws.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,molded_beam,Molded Beam,tier_3_4,A/B,Saves Steel by adding Concrete.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steel_rod,Steel Rod,tier_3_4,A/B,Efficient Iron Rod production once Steel is abundant.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,iron_pipe,Iron Pipe,tier_3_4,B,Lets Iron substitute for Coal/Steel where Coal is constrained.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,basic_iron_ingot,Basic Iron Ingot,tier_3_4,B,Uses Limestone to stretch Iron; less valuable in Iron-rich Rocky Desert.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,iron_alloy_ingot,Iron Alloy Ingot,tier_3_4,B,Raises Iron output at the cost of Copper.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steel_cast_plate,Steel Cast Plate,tier_3_4,B,Fast Iron Plate recipe using Iron + Steel.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,automated_miner,Automated Miner,tier_3_4,C,Convenience recipe for Portable Miners rather than factory economics.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,encased_industrial_pipe,Encased Industrial Pipe,tier_3_4,S,Replaces Steel Beams with Pipes in Encased Industrial Beams; ideal for pipe-centric steel.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,heavy_oil_residue,Heavy Oil Residue,tier_5_6,S,Foundation of the high-yield oil chain.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,recycled_plastic,Recycled Plastic,tier_5_6,S,Core oil optimization; converts Rubber + Fuel to Plastic.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,recycled_rubber,Recycled Rubber,tier_5_6,S,Core oil optimization; converts Plastic + Fuel to Rubber.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,diluted_packaged_fuel,Diluted Packaged Fuel,tier_5_6,S/A,High-yield Fuel before Blender Diluted Fuel; packaging loop adds complexity.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,pure_copper_ingot,Pure Copper Ingot,tier_5_6,A,Excellent Copper yield with Refinery + Water cost.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,pure_iron_ingot,Pure Iron Ingot,tier_5_6,A,"Excellent Iron yield, though Iron is rarely the limiting Rocky Desert resource.",true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,electrode_circuit_board,Electrode Circuit Board,tier_5_6,A,Rubber + Petroleum Coke circuit-board route; useful for oil-centric electronics.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,coke_steel_ingot,Coke Steel Ingot,tier_5_6,A/B,Allows oil byproducts to substitute for Coal in Steel.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,coated_cable,Coated Cable,tier_5_6,A/B,Very high Cable output using oil products.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,insulated_cable,Insulated Cable,tier_5_6,A/B,High Cable throughput using Rubber.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,adhered_iron_plate,Adhered Iron Plate,tier_5_6,B,Rubber-based RIP; Stitched Iron Plate is generally cleaner for this plan.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,flexible_framework,Flexible Framework,tier_5_6,B,Higher Versatile Framework throughput using Rubber.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,coated_iron_plate,Coated Iron Plate,tier_5_6,B,Fast Plate production at the cost of Plastic.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,rubber_concrete,Rubber Concrete,tier_5_6,B,Fast Concrete using Rubber; situational.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
