module_id,district_id,primary_item_name,module_type,active_phase_ids,confidence,notes,strategy_profile_id
a_plate,rocky_desert_a,Iron Plate,starter_basic,rocky_a0;rocky_a1;rocky_a2,DEFINED,Permanent construction supply; adjacent to RIP chain.,rocky_relaxed_districted_v1
a_rod,rocky_desert_a,Iron Rod,starter_basic,rocky_a0;rocky_a1;rocky_a2,DEFINED,"Feeds construction, Modular Frames, and Screw/Rotor chain where applicable.",rocky_relaxed_districted_v1
a_screw,rocky_desert_a,Screws,starter_intermediate,rocky_a0;rocky_a1,DEFINED,Primarily early topology; may shrink in importance after Stitched Iron Plate.,rocky_relaxed_districted_v1
a_rip,rocky_desert_a,Reinforced Iron Plate,starter_intermediate,rocky_a1;rocky_a2,DEFINED,Shared intermediate for Modular Frames and Smart Plating; storage-worthy.,rocky_relaxed_districted_v1
a_rotor,rocky_desert_a,Rotor,starter_intermediate,rocky_a1;rocky_a2,DEFINED,Feeds Smart Plating and later motor-related demand.,rocky_relaxed_districted_v1
a_modframe,rocky_desert_a,Modular Frame,starter_finished,rocky_a1;rocky_a2,DEFINED,Longer rod feed acceptable to preserve RIP/Smart Plating adjacency.,rocky_relaxed_districted_v1
a_smartplate,rocky_desert_a,Smart Plating,project_part,rocky_a1;rocky_a2,DEFINED,Convergence of RIP + Rotor; keep near those modules.,rocky_relaxed_districted_v1
a_wire,rocky_desert_a,Wire,starter_basic,rocky_a1;rocky_a2,PARAMETERIZED,Iron Wire preferred strategy can make this part of all-Iron topology.,rocky_relaxed_districted_v1
a_cable,rocky_desert_a,Cable,starter_basic,rocky_a1;rocky_a2,DEFINED,Construction and later Automated Wiring feed.,rocky_relaxed_districted_v1
a_coppersheet,rocky_desert_a,Copper Sheet,starter_basic,rocky_a1;rocky_a2,DEFINED,Construction/electronics support.,rocky_relaxed_districted_v1
a_concrete,rocky_desert_a,Concrete,starter_basic,rocky_a0;rocky_a1;rocky_a2,DEFINED,High-priority construction supply.,rocky_relaxed_districted_v1
c_steel_ingot,rocky_desert_c,Steel Ingot,steel_primary,rocky_c0;rocky_c1;rocky_c2,DEFINED,Primary steel feed; permanent modular backbone.,rocky_relaxed_districted_v1
c_pipe,rocky_desert_c,Steel Pipe,steel_primary,rocky_c0;rocky_c1;rocky_c2,DEFINED,"Primary steel output; shared by EIB, Rotor, Stator.",rocky_relaxed_districted_v1
c_beam,rocky_desert_c,Steel Beam,steel_primary,rocky_c0;rocky_c1;rocky_c2,DEFINED,Construction and Versatile Framework support.,rocky_relaxed_districted_v1
c_eib,rocky_desert_c,Encased Industrial Beam,steel_intermediate,rocky_c1;rocky_c2,DEFINED,Dedicated lane preferred; concrete + pipe convergence.,rocky_relaxed_districted_v1
c_rotor,rocky_desert_c,Rotor,steel_intermediate,rocky_c1;rocky_c2,DEFINED,Steel Rotor strategy; dedicated rotor lane.,rocky_relaxed_districted_v1
c_stator,rocky_desert_c,Stator,steel_intermediate,rocky_c1;rocky_c2,DEFINED,Dedicated stator lane; pipe + wire convergence.,rocky_relaxed_districted_v1
c_motor,rocky_desert_c,Motor,steel_finished,rocky_c2,DEFINED,Rotor + Stator convergence.,rocky_relaxed_districted_v1
c_vframe,rocky_desert_c,Versatile Framework,project_part,rocky_c2,PARAMETERIZED,Consumes Modular Frames + Steel Beam; may be colocated on steel export side.,rocky_relaxed_districted_v1
c_auto_wiring,rocky_desert_c,Automated Wiring,project_part,rocky_c2,PARAMETERIZED,Consumes Stator + Cable; place near stator/logistics edge.,rocky_relaxed_districted_v1
b_coal_supply,rocky_desert_b,Coal,resource_feed,rocky_b0;rocky_b1,DEFINED,Local coal feed dedicated to power until later reserve-release decisions.,rocky_relaxed_districted_v1
